№,Наименование работ,Этапы работ,Референсные файлы,Статус,Комментарий
1 Этап,"**1 Этап · Аналитика и проектирование, подготовка документации**",,,🟡 Частично,▸ Спеки платформы сбора актуализированы; ПМИ и полный контур бонитировки — вне репозитория
1.1.,Проектирование общей архитектуры системы (ml-инженер lead),"Декомпозиция системы на компоненты: мобильное приложение, ML-бэкенд, контентный бэкенд, интеграционный шлюз; выбор технологического стека; описание схем взаимодействия компонентов","• specs/01-overview.md — обзор продукта, scope и архитектура
• specs/04-tech-stack-architecture.md — стек, зависимости, структура lib/ и django_server/
• specs/main-scheme/01-abstract-config-entities.drawio — диаграмма: сущности конфига
• specs/main-scheme/11-stack.drawio — диаграмма: полный стек системы",🟡 Частично,Архитектура data-collector (Flutter + Django + Git + per-project storage) описана; ML-бэкенд и шлюз АИС — не в этом репо
1.2.,Проектирование UX мобильного приложения (ml-инженер lead),"Разработка UX-сценариев: идентификация животного (ввод номера / другое), пошаговая съёмка, просмотр результатов бонитировки, офлайн-режим","• specs/03-user-journey-screens.md — экраны Flutter и веб-админки
• specs/config/json-driven-collection-ui.md — как JSON конфиг строит UI сбора
• specs/config/09-project-json-builder-guide.md — гайд по сборке JSON проекта",🟡 Частично,Сценарий сбора по конфигу и офлайн реализованы; экран результатов бонитировки в МП — нет
,"Прототипирование экранов (wireframes): авторизация, список хозяйств и животных, модуль камеры с гидом по ракурсам, экран ожидания обработки, история сканирований со статусной моделью",,"• specs/03-user-journey-screens.md — экраны Flutter и веб-админки
• specs/presentation/ — презентационные материалы и скриншоты UI",🟡 Частично,"Есть login, проекты, камера, история, вкладка «Сервер»; нет списка хозяйств/животных и экрана ожидания ML"
,Согласование UX-прототипа с Заказчиком; внесение правок по замечаниям,,,🔴 Не готово,Процесс согласования в репозитории не фиксируется
1.3.,Подготовка технической документации (технический писатель),"Подготовка Программы и методики испытаний (ПМИ): описание процедур, критериев оценки, тестовых сценариев для всех компонентов системы",,🔴 Не готово,ПМИ в репозитории отсутствует
,"Описание архитектуры системы: схемы компонентов, схема данных, спецификация REST API (endpoints, форматы JSON, коды ошибок)",,"• specs/02-data-models-schema.md — JSON-конфиг, Django/SQLAlchemy/Drift модели
• specs/08-server-api-package-upload.md — HTTP API загрузки пакетов, auth, коды ошибок
• specs/09-server-project-config-delivery.md — доставка конфигов: каталог, ETag, assets
• specs/07-package-payload-structure.md — структура пакета, blobs, camera metadata
• django_server/README.md — Django: роли, Git, пакеты, viz, хранилище",🟡 Частично,Спеки API и моделей есть; OpenAPI 3.1 и формальная схема всей системы — не завершены
1.4.,Настройка инфраструктуры разработки (Devops-инженер),Настройка репозиториев; контроль версий; системы сборки для всех сервисов,"• README.md — корневой README: запуск, структура репо, прод URL
• test_dev/README.md — Docker Compose Postgres + MinIO для локального прода-подобного стенда
• pubspec.yaml — Flutter-зависимости и assets
• django_server/requirements.txt — Python-зависимости бэкенда",🟡 Частично,Монорепо Flutter + Django; test_dev Compose; отдельных CI/сборок ML-сервисов нет
,"Настройка S3-хранилища медиафайлов; баз данных, систем очередей, систем мониторинга, пайплайнизаторов для ML экспериментов",,"• specs/project-storage-uris.md — database_uri / storage_uri, Postgres, S3, GCS
• test_dev/docker-compose.yml — compose-файл Postgres и MinIO
• test_dev/README.md — Docker Compose Postgres + MinIO для локального прода-подобного стенда",🟡 Частично,Per-project storage_uri (S3/GCS/file) и test_dev MinIO+Postgres; очереди/мониторинг/ML pipelines — нет
,Настройка логирования и алертов; проверка состояния всех сервисов,,"• specs/08-server-api-package-upload.md — HTTP API загрузки пакетов, auth, коды ошибок",🟡 Частично,Есть /health; централизованные логи и алерты не описаны в репо
2 Этап,**2 Этап · Разработка ML-ядра (параллельно с этапом 3)**,,,🔴 Не готово,▸ Обучение и инференс ML — вне data-collector; в админке только приём и визуализация результатов
2.1.,Дообучение модели keypoint detection (ml-инженер senior),Расширение датасета: разметка дополнительных изображений с 21 анатомической точкой; запуск Active Learning pipeline,"• korovas/ — смежные ML/разметка korovas (вне runtime data-collector)
• specs/collector-vis-config.md — collector/viz.json, плагины визуализации в админке",🔴 Не готово,Импорт/отображение keypoints в админке есть; дообучение и Active Learning — вне репо
,Дообучение YOLOv11-Pose на расширенном датасете; валидация: цель PCK@0.1 ≥ 0.85; A/B-сравнение версий модели; анализ ошибок;,,"• korovas/ — смежные ML/разметка korovas (вне runtime data-collector)
• specs/collector-vis-config.md — collector/viz.json, плагины визуализации в админке",🔴 Не готово,Не реализовано в data-collector
2.2.,Разработка модулей глубины и визуальной оценки,,,🔴 Не готово,
2.2.1.,Бенчмарк depth-моделей и алгоритм расчёта 15 измерений (ml-инженер lead),"Сравнительное тестирование depth-моделей: Depth Anything V2, Metric3D v2 (ViT-giant), ZoeDepth; выбор оптимальной по метрике","• specs/collector-vis-config.md — collector/viz.json, плагины визуализации в админке
• django_server/api/management/commands/import_depth_map.py — команда импорта depth-карт в project DB",🔴 Не готово,Хранение и просмотр depth в админке; бенчмарк моделей и 15 измерений — вне репо
,Интеграция depth-модели в пайплайн; метрическая калибровка через intrinsic-параметры камеры; оптимизация инференса,,"• specs/07-package-payload-structure.md — структура пакета, blobs, camera metadata",🟡 Частично,Intrinsics камеры в payload пакета собираются; depth-инференс в пайплайне — нет
,Реализация геометрических алгоритмов расчёта 15 линейных параметров из keypoints + depth map; валидация,,,🔴 Не готово,Не в репозитории
2.2.2.,Разработка VLM-модуля (9 экспертных оценок экстерьера) (ml-инженер senior),Валидация VLM-модуля: сравнение оценок системы с оценками экспертов-бонитёров (100–200 изображений); анализ расхождений; итерации промптов; цель: Cohen's Kappa ≥ 0.80; ведение лога экспериментов,,🔴 Не готово,Не в репозитории
2.3.,Сборка E2E пайплайна,,,🔴 Не готово,
2.3.1.,Сбор E2E пайплайна для оценки расстояния между заданными кейпоинтами (ml-инженер lead),"Анализ ошибок текущего пайплайна, исправления известных проблем (точки за пределами маски животного)","• cowmetric/ — смежный код cowmetric / измерений
• korovas/ — смежные ML/разметка korovas (вне runtime data-collector)
• specs/collector-vis-config.md — collector/viz.json, плагины визуализации в админке",🔴 Не готово,Смежные каталоги в репо; E2E пайплайн не интегрирован в data-collector
,Итерация улучшения с анализом ошибок после обновления всех моделей и сбора дополнительных данных,,,🔴 Не готово,Не в репозитории
3 Этап,**3 Этап · Разработка мобильного приложения и бэкенда (параллельно с этапом 2)**,,,🟡 Частично,▸ Платформа сбора и приёма данных готова; доменная бонитировка — частично
3.1.,Разработка мобильного приложения (ml-инженер senior),"Настройка Flutter/React Native проекта: архитектура, зависимости, навигация, локализация (русский язык); экраны авторизации","• specs/04-tech-stack-architecture.md — стек, зависимости, структура lib/ и django_server/
• lib/main.dart — точка входа, GoRouter, login, dashboard
• lib/l10n/ — локализация RU/EN
• pubspec.yaml — Flutter-зависимости и assets",🟢 Готово,Flutter + Riverpod + GoRouter + RU/EN + Firebase login
,"Модуль карточки животного: создание, редактирование, экран создания сессии бонитировки",,"• specs/02-data-models-schema.md — JSON-конфиг, Django/SQLAlchemy/Drift модели
• specs/config/09-project-json-builder-guide.md — гайд по сборке JSON проекта",🟡 Частично,Вместо карточки животного — универсальный сбор по JSON-конфигу проекта
,"Модуль камеры: автоматическая оценка качества кадра в реальном времени (освещённость, резкость); визуальная обратная связь оператору",,"• lib/core/quality/ — анализ качества изображений
• specs/07-package-payload-structure.md — структура пакета, blobs, camera metadata",🟡 Частично,Анализ качества изображения есть; не полный real-time гид по освещённости
,Извлечение intrinsic-параметров камеры: focal length + sensor size; логирование fallback-случаев; тестирование на ≥10 устройствах разных производителей,,"• specs/07-package-payload-structure.md — структура пакета, blobs, camera metadata
• lib/core/device/ — камера, EXIF, intrinsic-параметры",🟡 Частично,frame_camera / camera_session в materializer; формальные тесты на 10+ устройствах не зафиксированы
,"Chunked upload с автоматическим retry и resume; фоновая загрузка; экран ожидания обработки, офлайн-режим: локальное сохранение, очередь синхронизации",,"• specs/06-upload-lifecycle.md — жизненный цикл upload на устройстве
• specs/08-server-api-package-upload.md — HTTP API загрузки пакетов, auth, коды ошибок
• lib/features/sync/server_sync_tab.dart — вкладка «Сервер»: очередь upload",🟡 Частично,Офлайн-сбор и blob-by-blob upload + вкладка «Сервер»; chunked/resume/фон (workmanager) — нет
3.2.,Разработка бэкенда приема данных и админ-панели,,,🟡 Частично,
3.2.1.,Разработка Backend API (Python-инженер senior),"Настройка юзеров: авторизации, аутентификации, прав доступа, ролей","• specs/08-server-api-package-upload.md — HTTP API загрузки пакетов, auth, коды ошибок
• specs/git-backed-projects.md — Git-репозиторий проекта, deploy key, config.json
• django_server/README.md — Django: роли, Git, пакеты, viz, хранилище
• specs/main-scheme/04-auth-firebase-django.drawio — диаграмма: Firebase + Django auth
• specs/main-scheme/05-admin-roles-access.drawio — диаграмма: роли staff / client-admin",🟢 Готово,Firebase + CollectorUser; staff и client-admin; фильтр проектов по M2M
,"Upload API: chunked upload, resume upload, валидация форматов/размеров; хранение и экспорт результатов в БД",,"• specs/08-server-api-package-upload.md — HTTP API загрузки пакетов, auth, коды ошибок
• specs/06-upload-lifecycle.md — жизненный цикл upload на устройстве
• specs/project-storage-uris.md — database_uri / storage_uri, Postgres, S3, GCS
• django_server/api/project_db.py — SQLAlchemy: сессии пакетов, pipeline-таблицы",🟢 Готово,POST/PUT blobs/manifest/commit; per-project SQLAlchemy + fsspec; не tus/chunked внутри файла
,Визуализация собранного мобильным приложением пакета на странице пакета,,"• specs/collector-vis-config.md — collector/viz.json, плагины визуализации в админке
• django_server/README.md — Django: роли, Git, пакеты, viz, хранилище
• specs/03-user-journey-screens.md — экраны Flutter и веб-админки",🟢 Готово,Workspace: Данные / Медиа / Визуализация / Changelog; viz.json + плагины
,Генератор протоколов бонитировки: PDF + JSON; возможность ручной корректировки зоотехником с фиксацией факта изменения; история протоколов по животному,,,🔴 Не готово,Не реализовано; есть правка манифеста пакета и field changelog
3.2.2.,Экраны результатов и административная панель (Python-инженер senior),"Экран результатов бонитировки: отображение 15 измерений, 9 экспертных оценок, итогового класса животного; просмотр PDF протокола; возможность корректировки зоотехником","• specs/collector-vis-config.md — collector/viz.json, плагины визуализации в админке",🟡 Частично,Визуализация ML-слоёв в админке; экран бонитировки с 15+9 метриками и PDF — нет
,"Административная: управление справочниками (породы, нормативы измерений, шкалы оценок, атлас 21 анатомической точки); управление пользователями и хозяйствами",,"• specs/git-backed-projects.md — Git-репозиторий проекта, deploy key, config.json
• django_server/README.md — Django: роли, Git, пакеты, viz, хранилище
• specs/09-server-project-config-delivery.md — доставка конфигов: каталог, ETag, assets",🟡 Частично,Проекты (Git)
3.2.3.,Коннектор АИС «Монолит» (Devops-инженер),Согласование форматов API с операторами АИС «Монолит»; получение тестовых доступов к средам интеграции; фиксация API-спецификаций,,🔴 Не готово,Вне scope data-collector
,Разработка двустороннего коннектора: получение карточек животных при создании записи; автоматическая передача результатов бонитировки в карточку животного,,,🔴 Не готово,Не реализовано
,Интеграционное тестирование с тестовой средой АИС «Монолит»: верификация полноты и корректности данных; цель: успешная передача ≥99% протоколов; логирование запросов и ответов; retry при временных сбоях,,,🔴 Не готово,Не реализовано
4 Этап,**4 Этап · Разработка интеграций с АИС «Монолит»**,,,🔴 Не готово,▸ Этап не начат в этом репозитории
4.1.,Деплой production и мониторинг (Devops-инженер),Продукционизация инференс пайплайна,,🔴 Не готово,ML-инференс вне data-collector
,Настройка GPU-сервера для ML-инференса; нагрузочное тестирование,,,🔴 Не готово,Не в репозитории
,Полное интеграционное тестирование приложения и бэкенда,,"• README.md — корневой README: запуск, структура репо, прод URL
• specs/01-overview.md — обзор продукта, scope и архитектура",🟡 Частично,Django+Flutter задеплоены на epoch8.dev; формальное E2E-тестирование не описано
5 Этап,"**5 Этап · Испытания, сбор данных и ввод в опытную эксплуатацию**",,,🔴 Не готово,▸ Испытания и опытная эксплуатация — вне репозитория
5.1.,Предварительные испытания (Python-инженер senior),"Функциональное тестирование всех компонентов по ПМИ на стендовых данных; проверка граничных условий: некачественные фото, отключение сети",• test_dev/README.md — Docker Compose Postgres + MinIO для локального прода-подобного стенда,🟡 Частично,test_dev для Postgres/S3; автотесты ПМИ — нет
,Тестирование мобильного приложения на ≥10 устройствах (Android и iOS разных производителей); верификация работы модуля камеры и intrinsic-параметров; проверка офлайн-режима и chunked upload,,"• docs/web-vs-android.md — отличия Web и Android клиента
• specs/06-upload-lifecycle.md — жизненный цикл upload на устройстве",🟡 Частично,Android + Web; iOS в репо; массовое device-тестирование не задокументировано
,Нагрузочное тестирование серверной части; проверка целевых метрик; оформление акта предварительных испытаний,,,🔴 Не готово,Не в репозитории
5.2.,Сбор данных и дообучение ML-моделей (ml-инженер senior),"Сбор реальных данных с мобильных устройств в хозяйствах Заказчика: ≥100 животных, разные породы и возрастные группы; стандартизация и подготовка датасета","• specs/08-server-api-package-upload.md — HTTP API загрузки пакетов, auth, коды ошибок
• specs/07-package-payload-structure.md — структура пакета, blobs, camera metadata",🟡 Частично,Платформа приёма пакетов готова; сбор 100+ животных — операционная задача
,Дообучение ML-моделей на реальных мобильных данных; повторная валидация метрик; сравнение с baseline;,,,🔴 Не готово,Вне репозитория
5.3.,Опытная эксплуатация в хозяйствах (Python-инженер senior),Развёртывание системы на площадках Заказчика; инструктаж операторов-животноводов; сопровождение опытной эксплуатации в течение ≥4 недель,"• README.md — корневой README: запуск, структура репо, прод URL",🟡 Частично,Прод-инстанс есть; сопровождение в репо не фиксируется
,Сравнение результатов автоматической бонитировки с эталонной оценкой зоотехника; сбор замечаний пользователей; оценка удобства интерфейса; устранение выявленных дефектов; оформление отчёта об опытной эксплуатации,,• specs/todo — backlog багов и доработок,🟡 Частично,Backlog багов и доработок в specs/todo; отчёт ОЭ — нет
5.4.,Приёмочные испытания и ввод в действие (Python-инженер senior),Приёмочные испытания по ПМИ: функциональные (ФИ) и технические (ТИ); проверка всех критериев приёмки ТЗ; оформление протоколов и акта ввода системы в опытную эксплуатацию,,🔴 Не готово,Не в репозитории
,"Подготовка пакета передаточной документации: финальные версии обученных ML-моделей, база эталонных данных, конфигурации развёртывания; передача Заказчику",,"• specs/ — каталог продуктовых спецификаций
• README.md — корневой README: запуск, структура репо, прод URL
• django_server/README.md — Django: роли, Git, пакеты, viz, хранилище",🟡 Частично,Техспеки и README есть; ML-артефакты и акт приёмки — нет
,"Разработка рекомендаций по дальнейшему развитию системы: масштабирование на новые породы, регионы, хозяйства; план дообучения ML по мере накопления данных",,"• specs/todo — backlog багов и доработок
• specs/05-stage-1-mvp.md — история MVP и текущий scope",🟡 Частично,Backlog в specs/todo; формальный план развития — нет
6 Этап,**6 Этап · Подготовка документации и финального отчёта**,,,🟡 Частично,
6.1.,Эксплуатационная документация (технический писатель),"Руководство пользователя мобильного приложения: скриншоты всех экранов, разделы «Типовые ошибки съёмки» и «Часто задаваемые вопросы»; написано для пользователей без технической подготовки",• lib/features/help/ — встроенная справка в приложении,🟡 Частично,Встроенная вкладка «Справка»; полноценное РП с скриншотами — нет
,"Инструкция по съёмке (ракурсы, освещение, расстояние, позиционирование животного)",,"• specs/config/09-project-json-builder-guide.md — гайд по сборке JSON проекта
• assets/config/ — bundled offline-конфиги демо-проектов",🟡 Частично,Инструкции задаются в config (instruction + media); отдельной PDF-инструкции нет
,"Руководство администратора: управление справочниками, пользователями, ML-моделями; инструкция по развёртыванию серверной части; описание REST API",,"• django_server/README.md — Django: роли, Git, пакеты, viz, хранилище
• specs/08-server-api-package-upload.md — HTTP API загрузки пакетов, auth, коды ошибок
• specs/09-server-project-config-delivery.md — доставка конфигов: каталог, ETag, assets
• specs/git-backed-projects.md — Git-репозиторий проекта, deploy key, config.json",🟡 Частично,README и спеки API/админки; справочники и ML-модели в админке — не все
6.2.,Техническая ML-документация (технический писатель),"Описание алгоритмов ML-ядра: архитектуры моделей, параметры обучения, метрики валидации; атлас 21 анатомической точки","• korovas/ — смежные ML/разметка korovas (вне runtime data-collector)
• specs/collector-vis-config.md — collector/viz.json, плагины визуализации в админке",🔴 Не готово,Только формат визуализации keypoints; ML-документация — вне data-collector
,"Описание форматов данных: датасет разметки, структура API, форматы протоколов бонитировки (PDF/JSON); документация по Active Learning pipeline",,"• specs/07-package-payload-structure.md — структура пакета, blobs, camera metadata
• specs/02-data-models-schema.md — JSON-конфиг, Django/SQLAlchemy/Drift модели
• specs/08-server-api-package-upload.md — HTTP API загрузки пакетов, auth, коды ошибок",🟡 Частично,Форматы пакета и API описаны; протоколы бонитировки и AL — нет
6.3.,Финальный отчёт по системе (технический писатель),Отчёт о результатах испытаний; отчёт о точности ML-моделей; сравнение с требованиями ТЗ,,🔴 Не готово,Не в репозитории
,"Финальный отчёт: анализ ошибок, достигнутые метрики vs. плановые, выводы, план дальнейшего развития и масштабирования системы",,"• specs/todo — backlog багов и доработок
• specs/01-overview.md — обзор продукта, scope и архитектура",🟡 Частично,Обзор и backlog есть; итоговый отчёт по ТЗ — нет
