,,,,,
№ п/п,Наименование работ,Этапы работ (краткое описание),Рефересные файлы,Статус,Комментарии
,,,,,
1 Этап,"Аналитика и проектирование, подготовка документации",,,жёлтый,Спеки платформы сбора актуализированы; ПМИ и полный контур бонитировки — вне репозитория
1.1.,"Проектирование общей архитектуры системы
 (ml-инженер lead)","Декомпозиция системы на компоненты: мобильное приложение, ML-бэкенд, контентный бэкенд, интеграционный шлюз; выбор технологического стека; описание схем взаимодействия компонентов","specs/01-overview.md; specs/04-tech-stack-architecture.md; specs/main-scheme/01-abstract-config-entities.drawio; specs/main-scheme/11-stack.drawio",жёлтый,Архитектура data-collector (Flutter + Django + Git + per-project storage) описана; ML-бэкенд и шлюз АИС — не в этом репо
1.2.,"Проектирование UX мобильного приложения
 (ml-инженер lead)","Разработка UX-сценариев: идентификация животного (ввод номера / другое), пошаговая съёмка, просмотр результатов бонитировки, офлайн-режим","specs/03-user-journey-screens.md; specs/config/json-driven-collection-ui.md; specs/config/09-project-json-builder-guide.md",жёлтый,Сценарий сбора по конфигу и офлайн реализованы; экран результатов бонитировки в МП — нет
,,"Прототипирование экранов (wireframes): авторизация, список хозяйств и животных, модуль камеры с гидом по ракурсам, экран ожидания обработки, история сканирований со статусной моделью","specs/03-user-journey-screens.md; specs/presentation/",жёлтый,"Есть login, проекты, камера, история, вкладка «Сервер»; нет списка хозяйств/животных и экрана ожидания ML"
,,Согласование UX-прототипа с Заказчиком; внесение правок по замечаниям,,красный,Процесс согласования в репозитории не фиксируется
1.3.,"Подготовка технической документации
  (технический писатель)","Подготовка Программы и методики испытаний (ПМИ): описание процедур, критериев оценки, тестовых сценариев для всех компонентов системы",,красный,ПМИ в репозитории отсутствует
,,"Описание архитектуры системы: схемы компонентов, схема данных, спецификация REST API (endpoints, форматы JSON, коды ошибок)","specs/02-data-models-schema.md; specs/08-server-api-package-upload.md; specs/09-server-project-config-delivery.md; specs/07-package-payload-structure.md; django_server/README.md",жёлтый,Спеки API и моделей есть; OpenAPI 3.1 и формальная схема всей системы — не завершены
1.4.,"Настройка инфраструктуры разработки
  (Devops-инженер)",Настройка репозиториев; контроль версий; системы сборки для всех сервисов,"README.md; test_dev/README.md; pubspec.yaml; django_server/requirements.txt",жёлтый,Монорепо Flutter + Django; test_dev Compose; отдельных CI/сборок ML-сервисов нет
,,"Настройка S3-хранилища медиафайлов; баз данных, систем очередей, систем мониторинга, пайплайнизаторов для ML экспериментов","specs/project-storage-uris.md; test_dev/docker-compose.yml; test_dev/README.md",жёлтый,Per-project storage_uri (S3/GCS/file) и test_dev MinIO+Postgres; очереди/мониторинг/ML pipelines — нет
,,Настройка логирования и алертов; проверка состояния всех сервисов,"specs/08-server-api-package-upload.md (§ GET /health)",жёлтый,Есть /health; централизованные логи и алерты не описаны в репо
2 Этап,Разработка ML-ядра (параллельно с этапом 3),,,красный,Обучение и инференс ML — вне data-collector; в админке только приём и визуализация результатов
